"EndDate","Symbol","EPInvest"
"2016-12-31","300082","150.0000"
"2016-12-31","300086","191.0000"
"2016-12-31","300110","108.6000"
"2016-12-31","300124","48.6000"
"2016-12-31","300132","1160.0000"
"2017-12-31","300134","100.0000"
"2020-12-31","300142","402.9951"
"2013-12-31","300165","1.5200"
"2016-12-31","300174","182.3000"
"2016-12-31","300179","96.8600"
"2011-12-31","300181","537.1600"
"2013-12-31","300181","247.6800"
"2014-12-31","300181","1311.8600"
"2015-12-31","300181","782.0000"
"2016-12-31","300181","2252.3900"
"2020-12-31","300207","5192.0000"
"2016-12-31","300248","30000.0000"
"2015-12-31","300259","8.4100"
"2016-12-31","300259","59.8000"
"2015-12-31","300296","1.5000"
"2016-12-31","300296","3.0000"
"2014-12-31","300349","9.5000"
"2015-12-31","300349","12.7000"
"2016-12-31","300349","122.0000"
"2017-12-31","300363","4224.0000"
"2020-12-31","300363","5920.0000"
"2016-12-31","300387","205.7000"
"2017-12-31","300452","72.6600"
"2019-12-31","300452","875.6300"
"2016-12-31","300463","60.8900"
"2017-12-31","300463","86.4100"
"2016-12-31","300488","70.0000"
"2016-12-31","300498","66303.8500"
"2017-12-31","300498","92700.0000"
"2018-12-31","300498","72500.0000"
"2019-12-31","300498","6780.0000"
"2020-12-31","300498","67500.0000"
"2016-12-31","300549","30.1200"
"2017-12-31","300549","18.5000"
"2018-12-31","300549","44.3600"
"2019-12-31","300549","100.9200"
"2017-12-31","300583","4211.3700"
"2020-12-31","300599","296.0000"
"2018-12-31","300721","1693.8300"
"2019-12-31","300721","549.8900"
"2018-12-31","300737","306.9700"
"2020-12-31","300748","818.0400"
"2019-12-31","300759","1165.2300"
"2019-12-31","300760","73.0000"
"2020-12-31","300865","105344.8800"
"2020-12-31","300999","49600.0000"
"2014-12-31","600005","190000.0000"
"2013-12-31","600017","9688.0000"
"2015-12-31","600017","8700.0000"
"2015-12-31","600019","137400.0025"
"2017-12-31","600019","803400.0000"
"2015-12-31","600021","46000.0000"
"2014-12-31","600022","15982.8000"
"2016-12-31","600022","3977.0000"
"2020-12-31","600022","250000.0000"
"2015-12-31","600026","2504.5000"
"2018-12-31","600027","267699.0000"
"2010-12-31","600028","38800.0000"
"2014-12-31","600028","941000.0000"
"2016-12-31","600028","636000.0000"
"2017-12-31","600028","785100.0000"
"2020-12-31","600028","1140000.0000"
"2010-12-31","600029","23946.0000"
"2012-12-31","600058","18578.0000"
"2015-12-31","600058","28000.0000"
"2021-12-31","600058","325.9500"
"2013-12-31","600062","25.0000"
"2015-12-31","600062","1129.0000"
"2016-12-31","600062","2335.0000"
"2019-12-31","600062","3459.0000"
"2020-12-31","600062","4148.0000"
"2016-12-31","600063","1875.1626"
"2017-12-31","600063","48634152.8200"
